Title,Cost,Description,Effect,Ego,Morph,Skills,Stats,Coditional,Source
Errant Fork,-10,"Whether through conscious action or a freak occurrence, you are not the only you out there. An alpha fork of yourself exists and has decided to pursue its own path. Though this fork is not necessarily an enemy, it does have its own agenda and interests that sometimes run counter to your own. There may be legal issues involved, such as competing claims over who is the original alpha and therefore has rights to any property (or in some jurisdictions, the right to exist). There may be social awkwardness, as the division between you and your alpha forced you to compete over your friends, family, or even lovers. Though the alpha fork began with the same aptitudes, skills, traits, rep, and so on as yourself, it has diverged and begun to develop as a separate character, controlled by the gamemaster. Other complications in the relationship between these alphas should exist, enough that the other alpha should serve as an occasional hindrance or surprise. The alphas may, for example, have a strong rivalry going over their shared field of expertise or may simply feel a need to prove themselves better than the other.",,TRUE,FALSE,,,FALSE,
Established Fork,5,"The character begins the game with a fully instanced fork of themselves, and the player can specify if it is an alpha, beta, or delta fork; beta and delta forks will have their stats adjusted according to the rules outlined on pp. 273-274, EP. Psychosurgical alterations that differentiate the fork from the char- acter such as personality edits, mannerisms, and gender/sexual identity (but not traits) can be defined by the player and incorporated into the fork at no cost. Any other positive or negative mental traits taken for the fork must be purchased and applied to the fork exclusively. The fork's morph and gear must be paid for and provided by expenditure of the char- acter's own CP and starting credits. This trait ensures the fork is established and recognized as legal in whatever habitat the character lives in when the game starts, but there is no guarantee that the fork would be recognized as legal elsewhere or that the legality will remain current once the game is underway. This trait can be taken more than once. Players should carefully coordinate with their gamemaster to ensure a common understanding of the fork's place in the game and how they can be utilized.",,TRUE,FALSE,,,FALSE,
Fast Learner,10,The character improves skills and learns new ones in half the time it normally takes.,,TRUE,FALSE,,,FALSE,
Fast Metabolism,-5,"The morph's metabolism runs hot, requiring the character to eat two to three times as much food as a normal character with similar body mass. Food tends to be plentiful and cheap in most transhuman settlements, but this trait can pose a problem in remote areas or when visiting settlements with limited resources. The character must plan ahead and pack enough food on expeditions. If the character is eating off their rep, they must expend two trivial favors each day for the additional food they require. If the character is unable to obtain enough food, they lose SOM at the rate of one point per day until they resume their usual caloric intake. This trait is only available for biomorphs (including uplifts and pods).",,FALSE,TRUE,,,FALSE,
Faulty Education,-10,"Not everyone receives the same quality of education and many are taught incorrect things. Some children, for example, are raised with an ideologically driven system that prizes obedience over truth and accuracy-something still common in certain Jovian, brinker, and religious communities. Others, like many infugees, isolates, and zeroed indentures, only haveaccess to substandard or obsolete reference material. No matter the cause, the character thinks they know far more than they really do. Once per session, the gamemaster may intentionally mislead the character when giving them the results of a Knowledge Skill Test or otherwise detailing some aspect of the setting or a social interaction, depending on the character's background. This misinformation represents the char-cter's faulty understanding of the topic at hand and should be roleplayed appropriately, even if the player knows that their character is mistaken.",,TRUE,FALSE,,,FALSE,
First Impression,10,The character has a way of charming or otherwise making a good impression the first time they interact with someone. This innate social lubricant allows them to more readily deal with new contacts and slip right into new social environments. Apply a +10 modifier on social skill tests when the character is interacting with another character for the first time only.,,TRUE,FALSE,,,FALSE,
Frail Sanity (Level 1),-10,"This ego's mind is not as resilient as others. Its Lucidity is reduced by 5 per level. This also reduces Trauma Threshold by 1 or 2, respectively. (Note: Not yet implemented - adjust manually).",,TRUE,FALSE,,,FALSE,
Frail Sanity (Level 2),-20,"This ego's mind is not as resilient as others. Its Lucidity is reduced by 5 per level. This also reduces Trauma Threshold by 1 or 2, respectively. (Note: Not yet implemented - adjust manually).",,TRUE,FALSE,,,FALSE,
Genetic Defect (Major),-20,"The morph is not gene-fixed, and in fact suffers from a genetic disorder or other impairing mutation. The player and gamemaster should agree on a defect appropriate to their game. Some possibilities include: heart disease, diabetes, cystic fibrosis, sickle-cell disease, hypertension, hemophilia, or color blindness. A genetic disorder that creates minor complications and/or occasional health problems would be worth 10 CP, a defect that significantly impairs the character's regular functioning or that inflicts chronic health problems is worth 20 CP. The gamemaster must determine the exact effects of the disorder on gameplay, as appropriate. This trait is only available for flats.",,FALSE,TRUE,,,FALSE,
Genetic Defect (Minor),-10,"The morph is not gene-fixed, and in fact suffers from a genetic disorder or other impairing mutation. The player and gamemaster should agree on a defect appropriate to their game. Some possibilities include: heart disease, diabetes, cystic fibrosis, sickle-cell disease, hypertension, hemophilia, or color blindness. A genetic disorder that creates minor complications and/or occasional health problems would be worth 10 CP, a defect that significantly impairs the character's regular functioning or that inflicts chronic health problems is worth 20 CP. The gamemaster must determine the exact effects of the disorder on gameplay, as appropriate. This trait is only available for flats.",,FALSE,TRUE,,,FALSE,
Gold Star,10,"At some point in their past, this character did something that permanently earned them a place in the historical annals of a particular faction. Choose one faction. Each time the character interacts with that faction (such as with Networking Tests) or with an NPC from this faction who knows the character, they gain a +10 modifier. This trait is incompatible with the Black Mark trait (p. 149, EP) for the same faction. Note: Not added automatically)",,TRUE,FALSE,,,FALSE,
Hardening,10,"Either through repeated exposure or simply due to a willful aspect of the character's personality, the character is desensitized to one particular type of stressful experience. The player may choose one entry from the Stressful Experiences table (p. 215, EP), the Continuity Stress table (p. 233, EP), or any other specific experience that causes stress, such as specific psychosurgery procedures or Alienation Tests with a particular type of morph, with game- master approval. They are immune to stress from this source. This trait may be taken more than once, for hardening to different experiences. Each time it is taken, the character's maximum Moxie score is reduced by 1. Characters may not become hardened to the merging of forks. Characters that become hardened through repeat exposure (p. 214, EP) gain this trait for free.",,TRUE,FALSE,,,FALSE,
Heightened Instinct,10,"(Uplifts Only) This trait is only available to uplifts. Though the character is fully sapient and normally socialized, the uplift process left much of their unconscious instinct intact, and they are able to synthesize a great deal of contextual information instinctively. This provides a marked advantage when dealing with confusing or tense situations, as the character's subconscious drives their actions and responses faster than conscious decision-making. The character receives a +1 bonus to Initiative and ignores up to -10 of any modifiers for distraction when making skill tests.",,TRUE,FALSE,,,FALSE,
High-Temperature Operation,10,"This morph has been designed to operate only in high-temperature environments, enabling them to withstand temperatures up to 1,000 C. This morph loses 1 point of COO for every 5 minutes it spends at temperatures lower than 250 C, and 1 point of COO for every minute that it spends below 150 C. When its COO equals zero the morph becomes completely immobile. This same penalty is applied to all COO-based skill rolls. The morph's cyberbrain and mesh access still work in these circumstances, but the morph cannot physically move under its own power. Even if placed back in higher temperatures, if it was previously reduced to total immobility, the morph halves its COO and SOM (round down) until it has been serviced. This trait may only be applied to synthmorphs. It provides 5 points of Energy armor against heat-based attacks (such as lasers, microwaves, and plasma weapons, but not explosions).",,FALSE,TRUE,,,FALSE,
Hoarder,-10,"With the limitations on living space and need for resource management in all but the wealthiest habs, most transhumans are used to living with a minimal number of personal possessions. The flexibility and multi-purpose nature of most objects and availability of information, entertainment, and communication over digital or VR services all allow this to work well, but hoarders have a psychological compul- sion to keep things that they don't need and serve no purpose. Particularly common among corvid uplifts and some Fall survivors that lost everything, characters with this trait have a hard time giving away or disposing of things. Unless their behavior is somehow managed, they will accumulate over- whelming collections of junk. Each day, the character must make a WIL x 3 Test to keep their compulsion under control. If they fail, they will keep any objects they would normally throw away or recycle (food packaging, drink bulbs, broken or useless objects like dead ectos, ammunition clips, and the like) and must acquire one new item that day; all of those items will be added to their hoard. Hoarders can force themselves to ignore this compulsion for a day by taking one point of stress damage. If they ever attempt to clean out their hoard voluntarily, or if the hoard is significantly reduced (by catastrophe or by hab maintenance workers forcibly removing it), the character takes (1d10 / 2) + 2 SV.",,TRUE,FALSE,,,FALSE,
Home Turf,10,"This character knows a particular habitat like the back of their hand, paw, or tentacle, having grown up there or spent years familiarizing themselves. They receive an extra point of Moxie that may only be used for tests that apply to that habitat, such as navigating the best route, bypassing airlock controls, or hacking its infrastructure.",,TRUE,FALSE,,,FALSE,
Hyper Linguist,10,"The character has an intuitive understanding of linguistic structures that facilitates learning new languages easily. The character requires one-third the normal amount of time and experience to learn any language. The character can also learn any human language in one day simply by constant immersive exposure to it. Additionally, the character receives a +10 modifier when attempting to interpret languages they dont know.",,TRUE,FALSE,,,FALSE,
Identifiable Quirk,-10,"Transhumans may be able to switch bodies and travel the entire solar system to start a new life, but some things can't be left behind. The character has a unique behavioral quirk that makes identification easy, no matter the morph in which they are sleeved. Attempts to identify this character through Kinesics or similar skills gain a +10 bonus. This quirk could be a nervous twitch of the lips, distinct accent, noticeable laugh, or unusual gait. The character suffers a -30modifier to all Impersonation Tests against targets aware of the character's quirk.",,TRUE,FALSE,,,FALSE,
Identity Crisis,-10,"The character's ego has trouble adapting itself to the changed look of a new morph they are stuck with the mental image of their original body, and simply do not grow accustomed to their new face(s). As a result, the character has difficulty identifying themselves in the mirror, photos, surveillance feeds, etc. They frequently forget the look and shape of their current morph, acting inappropriately, describing themselves by their original body, forgetting to duck when walking through doorways, etc. This is primarily a roleplaying trait, but the gamemaster may apply appropriate modifiers (usually -10) to tests affected by this inability to adapt.",,TRUE,FALSE,,,FALSE,
Illiterate,-10,"The character knows how to speak, but has difficulty reading or writing. Due to the entoptic-saturated and icon-driven nature of transhuman society, they are able to get by quite comfortably with this handicap. Reduce the character's Language skills by half (round down) whenever reading or writing.",,TRUE,FALSE,,,FALSE,
Immortality Blues,-10,"The character has lived so long over 100 years they're bored with life and now have difficulty motivating themselves. They were old when longevity treatments first became available, survived the Fall, and continue to soldier onward though they find it increasingly harder to care, take interest in things around them, or fear final death. The character only receives half the Moxie and Rez Points award for completing motivational goals. This trait may not be purchased by characters with the infolife or uplift backgrounds.",,TRUE,FALSE,,,FALSE,
Impaired Balance (Level 1),-10,"This trait is only available to neo-pigs. This uplift's brain has not been fully adapted to the neo-pig's bipedal stance and still suffers occasional difficulties with balance. The character suffers a -10 modifier to any Climbing, Freerunning, or similar test involving balance or upright movement.",,TRUE,FALSE,,,FALSE,
Impaired Balance (Level 2),-20,"This trait is only available to neo-pigs. This uplift's brain has not been fully adapted to the neo-pig's bipedal stance and still suffers occasional difficulties with balance. The character suffers a -20 modifier to any Climbing, Freerunning, or similar test involving balance or upright movement.",,TRUE,FALSE,,,FALSE,
Impaired Balance (Level 3),-30,"This trait is only available to neo-pigs. This uplift's brain has not been fully adapted to the neo-pig's bipedal stance and still suffers occasional difficulties with balance. The character suffers a -30 modifier to any Climbing, Freerunning, or similar test involving balance or upright movement.",,TRUE,FALSE,,,FALSE,
Impaired Hearing,-5,"This trait is only available to octomorphs. This morph lacks the transgenic hearing modifications of modern octomorph designs. The morph can only hear low sounds in the 400-1,000 Hertz range (as opposed to the 20-20,000 Hertz range enjoyed by most transhumans) and hears poorly when not underwater. Apply a -30 modifier to any hearing-based Perception Tests. At the gamemaster's discretion, certain medium and high-frequency sounds may be inaudible as they are outside the morph's range. This lack of hearing may be compensated for with audio implants or microphones and mesh inserts.",,TRUE,FALSE,,,FALSE,
Impaired Linguistics (Level 1),-10,"This trait is only available to uplifts. This uplift's particular brain structure has difficulty processing language. At Level 1, the uplift loses some of their ability to speak, read, and comprehend things spoken by others when they suffer from stress. Each time the uplift suffers a trauma, they must make a Language Test at -10 to speak (both verbal and via mesh inserts) or comprehend (reading or listening) anything above the most basic words and information. This test only needs to be made once for each language, but for each additional trauma suffered, the test must be made again, with an additional cumulative -10 modifier. If the uplift loses their language abilities, they will recover them when that particular trauma is healed. In the meantime, they can only convey and understand basic, one-word, one-syllable concepts, such as eat or run.",,TRUE,FALSE,,,FALSE,
Impaired Linguistics (Level 2),-20,"This trait is only available to uplifts. This uplift's particular brain structure has difficulty processing language. The uplift's language centers are permanently hobbled. Their free natural Language skill at character creation is 40 + INT, and no Language skill may be raised above 60. Additionally, they must make make a Language Test to convey or comprehend particularly complex information or sentences at a -10 modifier. At the gamemaster's discretion, this may also impair other skill tests, particularly Knowledge skills when dealing with detailed data or specialist terminology. Level 2 does not incorporate Level 1 effects.",,TRUE,FALSE,,,FALSE,
Impared Proprioception,-10,"This trait is only available to octomorphs and flying squid morphs. Baseline cephalopods lack a sense of proprioception in their arms and tentacles, meaning they only know where their limbs are by looking at them. Though a standard proprioceptive sense was added to most octomorph and flying squid models, a number of germlines lack the proper neural structure. A morph with this trait suffers a -10 modifier on Fray Tests to avoid attacks or get out of the way and gains no benefits from the Ambidextrous trait.",,FALSE,TRUE,,,FALSE,
Implant Rejection,-15,"This morph does not accept implants well. At Level 2, the morph cannot accept implants of any kind.",,FALSE,TRUE,,,FALSE,
Improved Immune System (Level 1),10,"The morph's immune system is robust and more resistant to diseases, drugs, and toxins even more than basic bio-mods. At Level 1, apply a +10 modifier whenever making a test to resist infection or the effects of a toxin or drug. This trait is only available to biomorphs.",,TRUE,TRUE,,,FALSE,
Improved Immune System (Level 2),20,"The morph's immune system is robust and more resistant to diseases, drugs, and toxins even more than basic bio-mods. At Level 1, apply a +20 modifier whenever making a test to resist infection or the effects of a toxin or drug. This trait is only available to biomorphs.",,TRUE,TRUE,,,FALSE,
Incompetent,-10,"The character is completely incapable of performing a particular chosen active skill, no matter any training they may receive. They may not buy this skill during character creation or later advancement, and the modifier for defaulting to the linked aptitude of this particular skill is -10. This may not be used for exotic weapon skills, and should be used for a skill that could be of use to the character. (Note: this restriction is not accounted for by the skill calculator.)",,TRUE,FALSE,,,FALSE,
Indenture Holder,30,"The character currently owns the indenture contract of another ego. The person subject to indenture could be anyone from a Fall infugee to a criminal working off the damages of an assault charge. The indenture itself could have been voluntarily arranged with the character, awarded by a court, or the character could have bought it through IndEX (p. 162). The terms and conditions that will end the indenture should be clearly determined as a set credit amount, levels of favors expended, or provision of specific services. It is recommended that the contractual services are reasonably likely to be completed within 6 months. Players and gamemasters should collaborate to estab- lish the relationship the character has with the inden- ture and the exact skills and reputations of the NPC. Gamemasters should be very careful that this trait is not abused, and remember that, as the indenture holder, the character also has some responsibilities to the NPC. Physical harm, mental trauma, and illegal activities could negate the terms of indenture and may have serious repercussions for the character. Should the character treat their indenture well, they could become a trusted ally, but ill treatment could make them into an enemy (p. 149, EP).",,TRUE,FALSE,,,FALSE,
Information Control,10,"This character has a knack for diligence and caution in their daily living, online, and social networking interactions, reducing the amount of extraneous or sensitive information about themselves that leaks out in the public eye. Apply a -10 modifier to any Research Tests to gather information on the character or track them online (see Scanning, Tracking, and Monitoring, p. 251, EP) and any Networking Tests to ascertain the character's networking interactions (see Keeping It Quiet, p. 288, EP).",,TRUE,FALSE,,,FALSE,
Innocuous,10,"In an age when exotic appearances and good looks are commonplace, the morph's look is surprisingly bland and undistinguished, in that cookie cutter sort of way. The character's physical looks are so mundane that others have a hard time picking them out of a crowd, describing their appearance, or otherwise remembering physical details. Apply a -10 modifier to all tests made to spot, describe, or remember the character. This modifier does not apply to psi or mesh searches.",,FALSE,TRUE,,,FALSE,
Intense Relationship,-10,"Many characters retain close relationships with family, friends, and lovers. Sometimes, however, the interpersonal connection in these relationships becomes so intense as to be a detriment. The character is emotionally dependent on their relationship with a particular NPC to the point that being separated from the NPC is taxing. Each week the character goes without mean- ingful communication with the NPC, they suffer 1 point of stress. If cut off for more than two weeks, they also suffer a -10 modifier to all Task Actions until they are able to reconnect, as they are too distracted to focus. The character also suffers double the stress from witnessing the NPC being hurt or killed. Basic operational security dictates that the character cannot tell the NPC anything about Firewall nor can they communicate with the NPC during a Firewall mission. Characters breaking these rules put the lives of their friends and family at risk. Gamemasters should have enemies of Firewall use friends and family against characters who break these rules.",,TRUE,FALSE,,,FALSE,
Intuitive Cracker (Level 1),10,"When it comes to brute-force hacking, this character has an intuitive sense for finding and deploying the right exploit tool for the job. Reduce the base timeframe for brute-force hacking (p. 257, EP) by 20% per level. Since brute-forcing a system is normally a Task Action with a 20 Action Turn timeframe, at Level 1 this timeframe is reduced to 16 Action Turns and at Level 2 it is reduced to 12 Action Turns. As usual, every 10 points of MoS on the Infosec Test may reduce this another 10%; these and other reductions (such as from Speed and extra actions; p. 96) are added together before they are applied to the timeframe.",,TRUE,FALSE,,,FALSE,
Intuitive Cracker (Level 2),20,"When it comes to brute-force hacking, this character has an intuitive sense for finding and deploying the right exploit tool for the job. Reduce the base timeframe for brute-force hacking (p. 257, EP) by 20% per level. Since brute-forcing a system is normally a Task Action with a 20 Action Turn timeframe, at Level 1 this timeframe is reduced to 16 Action Turns and at Level 2 it is reduced to 12 Action Turns. As usual, every 10 points of MoS on the Infosec Test may reduce this another 10%; these and other reductions (such as from Speed and extra actions; p. 96) are added together before they are applied to the timeframe.",,TRUE,FALSE,,,FALSE,
Killer Instinct,15,"(Uplifts Only) This trait is only available to uplifts, and is most common in those from octopus or orca genestock. During uplift the most predatory aspect of the char- acter's psyche was left largely intact, and this has left them comfortable with bloodletting. The char- acter does not take stress from committing extreme violence in situations they feel are justified and necessary, and they receive a +30 modifier on Stress Tests when witnessing extreme violence committed by others.",,TRUE,FALSE,,,FALSE,
Lacks Manipulators,-10,"This morph lacks hands or other limbs with a fine manipulation capability. It is a common trait with quadrupeds (as well as certain smart animals). A morph with this trait may not be able to manipulate objects at all or may only be able to do so with a very limited capacity. Some morphs can hold small-sized or smaller tools, weapons, and other objects between their paws or in their mouths, for example, but unless these items have been specifically designed to operate with this morphology, the character will suffer a -30 modifier to use or may not be able to use them at all (gamemaster discretion). Objects that don't require physical manipulation, such as tools controlled by wireless commands, may be used normally. Some morphs with this trait-particularly quadrupeds-may be unable to hold an object between their paws and move at the same time or may require a SOM x 3 Test to retain their balance while standing upright to hold something.",,FALSE,TRUE,,,FALSE,
Large Size,0,"The morph is significantly larger than a normal transhuman, which has its advantages and disadvantages. The character counts as a large target in combat, granting all enemies a +10 bonus on attack rolls against the character. Their mass works against them; double the damage from falling or collisions after armor is applied. The character gains the reach advantage (p. 204, EP) against standard-size targets (double this against small targets) and can also wield two-handed weapons in one hand without penalty. At the gamemaster's discretion, the character may suffer a -20 modifier when handling small items, assuming they come equipped with no fine manipulators. Naturally, they may also have difficulty with armor, clothing, and other gear manufactured for smaller morphs, as well as the cramped confines of many habitats. This trait applies to morphs that are inherently large. To apply it to existing morphs with a smaller baseline, use the Enlarged Size trait (p. 83). The following existing morphs are considered to have the Large Size trait: fenrir, neo-beluga, neo-orca, q-morph, sundiver. The following existing bots and vehicles are also considered large: dwarf, flux car, flying car, ground car, hyperdense exoskeleton, Mars buggy, portable plane, rocket buggy, skimmer.",,FALSE,TRUE,,,FALSE,
Lemon,-10,"This trait is only available for synthetic morphs. This particular morph has some unfixable flaws. Once per game session (preferably at a time that will maximize drama or hilarity), the gamemaster can call for the character to make a MOX x 10 Test (using their current Moxie score). If the character fails, the morph immediately suffers 1 wound resulting from some mechanical failure, electrical glitch, or other breakdown. This wound may be repaired as normal.",,FALSE,TRUE,,,FALSE,
Limber (Level 1),10,"The morph is especially flexible and supple, capable of graceful contortions and interesting positions. At Level 1, the character can smoke with their toes, do the splits, and squeeze into small, cramped spaces. This trait is only available to biomorphs.",,FALSE,TRUE,,,FALSE,
Limber (Level 2),20,"The morph is especially flexible and supple, capable of graceful contortions and interesting positions. At Level 2, they are double-jointed escape artists. Each level provides a +10 modifier to escaping from bonds, fitting into narrow confines, and other acts relying on contortion or flexibility. This trait is only available to biomorphs.",,FALSE,TRUE,,,FALSE,
Lost Fork,-5,"A fork of the character has gone missing without a trace. The fork was legal and in compliance with all relevant laws and standards-then it vanished. The version that disappeared was an alpha fork, a complete recent copy of the character's ego that possesses sensi- tive knowledge about all aspects of the character's life. Players and gamemasters should discuss this trait before using it in their game and address the following questions: When did the disappearance occur? Why was the fork created? What was the fork doing just before the disappearance? What leads, if any, does the player possess at the start of the game? This trait is often taken in combination with the Edited Memories, Enemy, and/or On the Run traits.",,TRUE,FALSE,,,FALSE,
Low Gravity Adaptation,-10,"The morph is adapted to live in low gravity (0.15 g or less) and struggles in higher-gravity environments. Treat the character as suffering the effects of high gravity (p. 199, EP) for every full 0.2 g over 0.15. For example, while the character would operate fine on Luna or Titan, on Mars or Mercury (both 0.38 g) the character would be treated as if suffering the effects of 1 wound. On Venus (0.9 g), the character would be treated as if suffering the effects of 3 wounds. For each of these high gravity increments, also reduce the character's Walking Rate by 1 and their Running Rate by 4. While even low-gravityadapted bodies can sustain the stress of high gravity (over 1 g) for temporary periods, the gamemaster may rule that long-term exposure to higher gravity may result in the accumulation of actual wounds, not just wound effects. This trait may not be applied to morphs with the High-G Adaptation trait.",,FALSE,TRUE,,,FALSE,
Low Pain Tolerance,-20,"Pain is the character's enemy. The character has a very low threshold for pain tolerance and is more severely impaired when suffering. Increase the modifier for each wound take by an additional -10 (so the character suffers -20 with one wound, -40 with another, and -60 with a third). Additionally, the character suffers a -30 modifier on any test involving pain resistance. This morph version of this trait is only available for biomorphs.",,TRUE,TRUE,,,FALSE,
Machine Intuition,10,"(AGIs Only) This trait is only available to AGIs. The AGI is so attuned to dealing with machines that it has an intuitive knack for discovering the actual source of electronic or programming problems. Apply a +10 modifier to Interfacing, Hardware, or Programming Tests that involve diagnosing a technical problem or repairing it.",,TRUE,FALSE,,,FALSE,
Malleable Mind (Level 1),10,"Either through a natural quirk or psychosurgical conditioning, the character's neural architecture is especially malleable and more readily accepts psychosurgical changes. Apply a -10 modifier per level to the character's WIL x 3 Test when receiving voluntary psychosurgery (including neural pruning of forks). This modifier does not apply to involuntary psychosurgery.",,TRUE,FALSE,,,FALSE,
Malleable Mind (Level 2),20,"Either through a natural quirk or psychosurgical conditioning, the character's neural architecture is especially malleable and more readily accepts psychosurgical changes. Apply a -10 modifier per level to the character's WIL x 3 Test when receiving voluntary psychosurgery (including neural pruning of forks). This modifier does not apply to involun- tary psychosurgery.",,TRUE,FALSE,,,FALSE,
Malleable Mind (Level 3),30,"Either through a natural quirk or psychosurgical conditioning, the character's neural architecture is especially malleable and more readily accepts psychosurgical changes. Apply a -10 modifier per level to the character's WIL x 3 Test when receiving voluntary psychosurgery (including neural pruning of forks). This modifier does not apply to involuntary psychosurgery.",,TRUE,FALSE,,,FALSE,
Math Wiz,10,"The character can perform any feat of calculation, including the most complex and advanced mathematics, instantly and with great precision, with the same ease an unmodified human can add 2 + 3. The character can calculate odds with great precision, find correlations in numerical data, and perform similar tasks with great ease. Apply a +30 modifier on tests involving math calculations.",,TRUE,FALSE,,,FALSE,
Memory Artifact,-5,"This particular morph has an anomalous neural structure. As a result, sometimes not all aspects of an ego are properly erased after it has been uploaded and the mind is customarily wiped. This morph has memories from a previous ego that continue to resurface. Once per week, the ego sleeved in the morph must make a MOX x 10 Test. If it fails, certain memories will manifest in the current occupant's mind. This memories are likely to be from emotionally charged or otherwise memorable events in a previous ego's life. The first time the latent memories activate, the ego suffers (1d10 / 2) SV. Additional incidents of memory recall may or may not inflict stress, depending on the memory in question (traumatic ones certainly will), how drastically the memories conflict with the character's personality, and whether or not the character is aware of the source of these memories. The character naturally integrates these memories in with their own, making them a long-term or possibly permanent change that can only be removed with psychotherapy. These memories may of course be useful for plot purposes, as they may include sensitive data, secrets hidden from the public, or information the previous ego does not want spread. Gamemasters should not allow this trait for morphs that will be sleeved for less than a week unless they increase the test frequency from weekly to daily.",,FALSE,TRUE,,,FALSE,
Mental Disorder,-10,You have a psychological disorder from a previous traumatic experience in your life. Choose one of the disorders.,,TRUE,FALSE,,,FALSE,
Mild Allergy,-5,"The morph is allergic to a specific chosen allergen (dust, dander, plant pollen, certain chemicals) and suffers mild discomfort when exposed to it (eye irritation, sneezing, difficult breathing). Apply a -10 modifier to all tests while the character remains exposed. This trait is only available for biomorphs.",,FALSE,TRUE,,,FALSE,
Military Intelligence,10,"This trait may only be taken by characters with the Military Rank trait (below). Since all members of JSFI are commissioned officers, Jovian characters must have Military Rank of at least Level 2. The character is posted to their military's intelligence service. This makes it possible for the character to use reputation to garner classified information at one Favor level lower than normal, but it also immerses the character in the spook world, limiting their movements and greatly complicating their collaboration with Firewall. Players taking this trait should consult with the gamemaster as to how their character is able to operate as part of Firewall at all with other spies looking over their shoulder.",,TRUE,FALSE,,,FALSE,
Military Rank (Level 1),10,"Jovian: The character is an officer in the Jovian Space Force or Jovian Space Force Marines. Level 1 makes the character an NCO: a warrant officer, sergeant, or senior airman. Level 2 makes the character a low-ranking commissioned officer: a first or second lieutenant. Level 3 makes the character a mid-ranked commissioned officer: a captain or major. Titanian: The character is an officer in the Commonwealth Fleet, Marines, or Coast Guard. Level 1 makes the character an NCO: a warrant officer, sergeant, or petty officer. Level 2 makes the character a low-ranking commissioned officer: a pilot officer, lieutenant, or officer. Level 3 makes the character a mid-ranked commissioned officer: a squadron leader, major, or commanding officer. For each level, the character receives a +10 on all Networking Tests within their service branch. The character is on active duty, with all of the attendant structure and responsibilities of military life. Usually this includes being stationed in a specific place or on a specific vessel. However, the character might also have a desk job or be support staff. Players taking this trait must seek gamemaster permission and develop a plausible story for how their character is able to participate in Firewall missions while on active duty. Also note that this trait affects only the character's Networking Tests. Favors involving acquiring hardware, deploying military units, or the like still require plausible explanations as to how the character is manipulating the military command and logistics systems, and will have serious consequences if the character's superiors judge them to be abusing their position. Rank-and-file grunts don't need to take this trait.",,TRUE,FALSE,,,FALSE,
Military Rank (Level 2),20,"Jovian: The character is an officer in the Jovian Space Force or Jovian Space Force Marines. Level 1 makes the character an NCO: a warrant officer, sergeant, or senior airman. Level 2 makes the character a low-ranking commissioned officer: a first or second lieutenant. Level 3 makes the character a mid-ranked commissioned officer: a captain or major. Titanian: The character is an officer in the Commonwealth Fleet, Marines, or Coast Guard. Level 1 makes the character an NCO: a warrant officer, sergeant, or petty officer. Level 2 makes the character a low-ranking commissioned officer: a pilot officer, lieutenant, or officer. Level 3 makes the character a mid-ranked commissioned officer: a squadron leader, major, or commanding officer. For each level, the character receives a +10 on all Networking Tests within their service branch. The character is on active duty, with all of the attendant structure and responsibilities of military life. Usually this includes being stationed in a specific place or on a specific vessel. However, the character might also have a desk job or be support staff. Players taking this trait must seek gamemaster permission and develop a plausible story for how their character is able to participate in Firewall missions while on active duty. Also note that this trait affects only the character's Networking Tests. Favors involving acquiring hardware, deploying military units, or the like still require plausible explanations as to how the character is manipulating the military command and logistics systems, and will have serious consequences if the character's superiors judge them to be abusing their position. Rank-and-file grunts don't need to take this trait.",,TRUE,FALSE,,,FALSE,
Military Rank (Level 3),30,"Jovian: The character is an officer in the Jovian Space Force or Jovian Space Force Marines. Level 1 makes the character an NCO: a warrant officer, sergeant, or senior airman. Level 2 makes the character a low-ranking commissioned officer: a first or second lieutenant. Level 3 makes the character a mid-ranked commissioned officer: a captain or major. Titanian: The character is an officer in the Commonwealth Fleet, Marines, or Coast Guard. Level 1 makes the character an NCO: a warrant officer, sergeant, or petty officer. Level 2 makes the character a low-ranking commissioned officer: a pilot officer, lieutenant, or officer. Level 3 makes the character a mid-ranked commissioned officer: a squadron leader, major, or commanding officer. For each level, the character receives a +10 on all Networking Tests within their service branch. The character is on active duty, with all of the attendant structure and responsibilities of military life. Usually this includes being stationed in a specific place or on a specific vessel. However, the character might also have a desk job or be support staff. Players taking this trait must seek gamemaster permission and develop a plausible story for how their character is able to participate in Firewall missions while on active duty. Also note that this trait affects only the character's Networking Tests. Favors involving acquiring hardware, deploying military units, or the like still require plausible explanations as to how the character is manipulating the military command and logistics systems, and will have serious consequences if the character's superiors judge them to be abusing their position. Rank-and-file grunts don't need to take this trait.",,TRUE,FALSE,,,FALSE,
Minion/Partner,30,"The character has a personal employee, assistant, intern, or other form of retainer on hand to help them out. This could range from a hired bodyguard to a personal secretary to a solo socialite entourage. The relationship also does not need to be hierarchical; the character could have a partner or other collaborator. This minion/partner should be developed in conjunc- tion between the player and gamemaster and fully drawn up using the character creation rules, with their role and motivations spelled out. While most minions are in it for the money, and most partners share an interest or goal with the character, this NPC might also be motivated by loyalty, friendship, personal career interest, fandom, or to repay a debt or obligation. For the most part, the player should be allowed to run this NPC as a secondary character. The minion/ partner is an NPC, however, and the gamemaster may take control of the NPC at any time. The relation- ship must be maintained, else the minion/partner will part ways with the character. The character should occasionally have to address the minion's or partner's own needs, which can be exploited for roleplaying and plot purposes.",,TRUE,FALSE,,,FALSE,
